Total Nacional	Comunidades y Ciudades Autónomas	Provincias	Sexo	Periodo	Total
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Total	2021	2.593.243
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Hombres	2024	1.325.449
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Hombres	2023	1.299.669
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Hombres	2022	1.277.994
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Hombres	2021	1.270.661
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Mujeres	2024	1.385.359
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Mujeres	2023	1.357.172
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Mujeres	2022	1.331.328
Total Nacional	10 Comunitat Valenciana	46 Valencia/València	Mujeres	2021	1.322.582
Total Nacional	11 Extremadura		Total	2024	1.054.681
Total Nacional	11 Extremadura		Total	2023	1.054.306
Total Nacional	11 Extremadura		Total	2022	1.056.808
Total Nacional	11 Extremadura		Total	2021	1.061.636
Total Nacional	11 Extremadura		Hombres	2024	521.677
Total Nacional	11 Extremadura		Hombres	2023	521.626
Total Nacional	11 Extremadura		Hombres	2022	523.255
Total Nacional	11 Extremadura		Hombres	2021	525.843
Total Nacional	11 Extremadura		Mujeres	2024	533.004
Total Nacional	11 Extremadura		Mujeres	2023	532.680
Total Nacional	11 Extremadura		Mujeres	2022	533.553
Total Nacional	11 Extremadura		Mujeres	2021	535.793
Total Nacional	11 Extremadura	06 Badajoz	Total	2024	666.029
Total Nacional	11 Extremadura	06 Badajoz	Total	2023	666.049
Total Nacional	11 Extremadura	06 Badajoz	Total	2022	667.851
Total Nacional	11 Extremadura	06 Badajoz	Total	2021	671.092
Total Nacional	11 Extremadura	06 Badajoz	Hombres	2024	328.932
Total Nacional	11 Extremadura	06 Badajoz	Hombres	2023	329.118
Total Nacional	11 Extremadura	06 Badajoz	Hombres	2022	330.178
Total Nacional	11 Extremadura	06 Badajoz	Hombres	2021	331.856
Total Nacional	11 Extremadura	06 Badajoz	Mujeres	2024	337.097
Total Nacional	11 Extremadura	06 Badajoz	Mujeres	2023	336.931
Total Nacional	11 Extremadura	06 Badajoz	Mujeres	2022	337.673
Total Nacional	11 Extremadura	06 Badajoz	Mujeres	2021	339.236
Total Nacional	11 Extremadura	10 Cáceres	Total	2024	388.652
Total Nacional	11 Extremadura	10 Cáceres	Total	2023	388.257
Total Nacional	11 Extremadura	10 Cáceres	Total	2022	388.957
Total Nacional	11 Extremadura	10 Cáceres	Total	2021	390.544
Total Nacional	11 Extremadura	10 Cáceres	Hombres	2024	192.745
Total Nacional	11 Extremadura	10 Cáceres	Hombres	2023	192.508
Total Nacional	11 Extremadura	10 Cáceres	Hombres	2022	193.077
Total Nacional	11 Extremadura	10 Cáceres	Hombres	2021	193.987
Total Nacional	11 Extremadura	10 Cáceres	Mujeres	2024	195.907
Total Nacional	11 Extremadura	10 Cáceres	Mujeres	2023	195.749
Total Nacional	11 Extremadura	10 Cáceres	Mujeres	2022	195.880
Total Nacional	11 Extremadura	10 Cáceres	Mujeres	2021	196.557
Total Nacional	12 Galicia		Total	2024	2.705.833
Total Nacional	12 Galicia		Total	2023	2.699.424
Total Nacional	12 Galicia		Total	2022	2.692.825
Total Nacional	12 Galicia		Total	2021	2.698.177
Total Nacional	12 Galicia		Hombres	2024	1.301.744
Total Nacional	12 Galicia		Hombres	2023	1.299.064
Total Nacional	12 Galicia		Hombres	2022	1.296.582
Total Nacional	12 Galicia		Hombres	2021	1.299.491
Total Nacional	12 Galicia		Mujeres	2024	1.404.089
Total Nacional	12 Galicia		Mujeres	2023	1.400.360
Total Nacional	12 Galicia		Mujeres	2022	1.396.243
Total Nacional	12 Galicia		Mujeres	2021	1.398.686
Total Nacional	12 Galicia	15 Coruña, A	Total	2024	1.128.449
Total Nacional	12 Galicia	15 Coruña, A	Total	2023	1.123.884
Total Nacional	12 Galicia	15 Coruña, A	Total	2022	1.119.164
Total Nacional	12 Galicia	15 Coruña, A	Total	2021	1.120.501
Total Nacional	12 Galicia	15 Coruña, A	Hombres	2024	540.524
Total Nacional	12 Galicia	15 Coruña, A	Hombres	2023	538.523
Total Nacional	12 Galicia	15 Coruña, A	Hombres	2022	536.697
Total Nacional	12 Galicia	15 Coruña, A	Hombres	2021	537.361
Total Nacional	12 Galicia	15 Coruña, A	Mujeres	2024	587.925
Total Nacional	12 Galicia	15 Coruña, A	Mujeres	2023	585.361
Total Nacional	12 Galicia	15 Coruña, A	Mujeres	2022	582.467
Total Nacional	12 Galicia	15 Coruña, A	Mujeres	2021	583.140
Total Nacional	12 Galicia	27 Lugo	Total	2024	325.048
Total Nacional	12 Galicia	27 Lugo	Total	2023	324.267
Total Nacional	12 Galicia	27 Lugo	Total	2022	324.240
Total Nacional	12 Galicia	27 Lugo	Total	2021	326.068
Total Nacional	12 Galicia	27 Lugo	Hombres	2024	157.715
Total Nacional	12 Galicia	27 Lugo	Hombres	2023	157.332
Total Nacional	12 Galicia	27 Lugo	Hombres	2022	157.157
Total Nacional	12 Galicia	27 Lugo	Hombres	2021	158.003
Total Nacional	12 Galicia	27 Lugo	Mujeres	2024	167.333
Total Nacional	12 Galicia	27 Lugo	Mujeres	2023	166.935
Total Nacional	12 Galicia	27 Lugo	Mujeres	2022	167.083
Total Nacional	12 Galicia	27 Lugo	Mujeres	2021	168.065
Total Nacional	12 Galicia	32 Ourense	Total	2024	304.467
Total Nacional	12 Galicia	32 Ourense	Total	2023	304.563
Total Nacional	12 Galicia	32 Ourense	Total	2022	304.223
Total Nacional	12 Galicia	32 Ourense	Total	2021	305.297
Total Nacional	12 Galicia	32 Ourense	Hombres	2024	146.181
Total Nacional	12 Galicia	32 Ourense	Hombres	2023	146.271
Total Nacional	12 Galicia	32 Ourense	Hombres	2022	146.112
Total Nacional	12 Galicia	32 Ourense	Hombres	2021	146.630
Total Nacional	12 Galicia	32 Ourense	Mujeres	2024	158.286
Total Nacional	12 Galicia	32 Ourense	Mujeres	2023	158.292
Total Nacional	12 Galicia	32 Ourense	Mujeres	2022	158.111
Total Nacional	12 Galicia	32 Ourense	Mujeres	2021	158.667
Total Nacional	12 Galicia	36 Pontevedra	Total	2024	947.869
Total Nacional	12 Galicia	36 Pontevedra	Total	2023	946.710
Total Nacional	12 Galicia	36 Pontevedra	Total	2022	945.198
Total Nacional	12 Galicia	36 Pontevedra	Total	2021	946.311
Total Nacional	12 Galicia	36 Pontevedra	Hombres	2024	457.324
Total Nacional	12 Galicia	36 Pontevedra	Hombres	2023	456.938
Total Nacional	12 Galicia	36 Pontevedra	Hombres	2022	456.616
Total Nacional	12 Galicia	36 Pontevedra	Hombres	2021	457.497
Total Nacional	12 Galicia	36 Pontevedra	Mujeres	2024	490.545
Total Nacional	12 Galicia	36 Pontevedra	Mujeres	2023	489.772
Total Nacional	12 Galicia	36 Pontevedra	Mujeres	2022	488.582
Total Nacional	12 Galicia	36 Pontevedra	Mujeres	2021	488.814
Total Nacional	13 Madrid, Comunidad de		Total	2024	7.009.268
Total Nacional	13 Madrid, Comunidad de		Total	2023	6.871.903
Total Nacional	13 Madrid, Comunidad de		Total	2022	6.743.254
Total Nacional	13 Madrid, Comunidad de		Total	2021	6.726.640
Total Nacional	13 Madrid, Comunidad de		Hombres	2024	3.356.163
Total Nacional	13 Madrid, Comunidad de		Hombres	2023	3.288.197
Total Nacional	13 Madrid, Comunidad de		Hombres	2022	3.229.127
Total Nacional	13 Madrid, Comunidad de		Hombres	2021	3.221.401
Total Nacional	13 Madrid, Comunidad de		Mujeres	2024	3.653.105
Total Nacional	13 Madrid, Comunidad de		Mujeres	2023	3.583.706
Total Nacional	13 Madrid, Comunidad de		Mujeres	2022	3.514.127
Total Nacional	13 Madrid, Comunidad de		Mujeres	2021	3.505.239
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Total	2024	7.009.268
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Total	2023	6.871.903
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Total	2022	6.743.254
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Total	2021	6.726.640
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Hombres	2024	3.356.163
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Hombres	2023	3.288.197
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Hombres	2022	3.229.127
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Hombres	2021	3.221.401
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Mujeres	2024	3.653.105
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Mujeres	2023	3.583.706
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Mujeres	2022	3.514.127
Total Nacional	13 Madrid, Comunidad de	28 Madrid	Mujeres	2021	3.505.239
Total Nacional	14 Murcia, Región de		Total	2024	1.568.492
Total Nacional	14 Murcia, Región de		Total	2023	1.551.692
Total Nacional	14 Murcia, Región de		Total	2022	1.529.658
Total Nacional	14 Murcia, Región de		Total	2021	1.518.279
Total Nacional	14 Murcia, Región de		Hombres	2024	786.038
Total Nacional	14 Murcia, Región de		Hombres	2023	777.819
Total Nacional	14 Murcia, Región de		Hombres	2022	767.117
Total Nacional	14 Murcia, Región de		Hombres	2021	760.831
Total Nacional	14 Murcia, Región de		Mujeres	2024	782.454
Total Nacional	14 Murcia, Región de		Mujeres	2023	773.873
Total Nacional	14 Murcia, Región de		Mujeres	2022	762.541
Total Nacional	14 Murcia, Región de		Mujeres	2021	757.448
Total Nacional	14 Murcia, Región de	30 Murcia	Total	2024	1.568.492
Total Nacional	14 Murcia, Región de	30 Murcia	Total	2023	1.551.692
Total Nacional	14 Murcia, Región de	30 Murcia	Total	2022	1.529.658
Total Nacional	14 Murcia, Región de	30 Murcia	Total	2021	1.518.279
Total Nacional	14 Murcia, Región de	30 Murcia	Hombres	2024	786.038
Total Nacional	14 Murcia, Región de	30 Murcia	Hombres	2023	777.819
Total Nacional	14 Murcia, Región de	30 Murcia	Hombres	2022	767.117
Total Nacional	14 Murcia, Región de	30 Murcia	Hombres	2021	760.831
Total Nacional	14 Murcia, Región de	30 Murcia	Mujeres	2024	782.454
Total Nacional	14 Murcia, Región de	30 Murcia	Mujeres	2023	773.873
Total Nacional	14 Murcia, Región de	30 Murcia	Mujeres	2022	762.541
Total Nacional	14 Murcia, Región de	30 Murcia	Mujeres	2021	757.448
Total Nacional	15 Navarra, Comunidad Foral de		Total	2024	678.333
Total Nacional	15 Navarra, Comunidad Foral de		Total	2023	672.155
Total Nacional	15 Navarra, Comunidad Foral de		Total	2022	664.514
Total Nacional	15 Navarra, Comunidad Foral de		Total	2021	662.032
Total Nacional	15 Navarra, Comunidad Foral de		Hombres	2024	335.919
Total Nacional	15 Navarra, Comunidad Foral de		Hombres	2023	332.575
Total Nacional	15 Navarra, Comunidad Foral de		Hombres	2022	329.064
Total Nacional	15 Navarra, Comunidad Foral de		Hombres	2021	327.940
Total Nacional	15 Navarra, Comunidad Foral de		Mujeres	2024	342.414
Total Nacional	15 Navarra, Comunidad Foral de		Mujeres	2023	339.580
Total Nacional	15 Navarra, Comunidad Foral de		Mujeres	2022	335.450
Total Nacional	15 Navarra, Comunidad Foral de		Mujeres	2021	334.092
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Total	2024	678.333
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Total	2023	672.155
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Total	2022	664.514
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Total	2021	662.032
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Hombres	2024	335.919
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Hombres	2023	332.575
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Hombres	2022	329.064
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Hombres	2021	327.940
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Mujeres	2024	342.414
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Mujeres	2023	339.580
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Mujeres	2022	335.450
Total Nacional	15 Navarra, Comunidad Foral de	31 Navarra	Mujeres	2021	334.092
Total Nacional	16 País Vasco		Total	2024	2.227.684
Total Nacional	16 País Vasco		Total	2023	2.216.302
Total Nacional	16 País Vasco		Total	2022	2.205.826
Total Nacional	16 País Vasco		Total	2021	2.212.628
Total Nacional	16 País Vasco		Hombres	2024	1.083.488
Total Nacional	16 País Vasco		Hombres	2023	1.077.504
Total Nacional	16 País Vasco		Hombres	2022	1.072.491
Total Nacional	16 País Vasco		Hombres	2021	1.075.982
Total Nacional	16 País Vasco		Mujeres	2024	1.144.196
Total Nacional	16 País Vasco		Mujeres	2023	1.138.798
Total Nacional	16 País Vasco		Mujeres	2022	1.133.335
Total Nacional	16 País Vasco		Mujeres	2021	1.136.646
Total Nacional	16 País Vasco	01 Araba/Álava	Total	2024	338.594
Total Nacional	16 País Vasco	01 Araba/Álava	Total	2023	336.308
Total Nacional	16 País Vasco	01 Araba/Álava	Total	2022	333.908
Total Nacional	16 País Vasco	01 Araba/Álava	Total	2021	333.485
Total Nacional	16 País Vasco	01 Araba/Álava	Hombres	2024	166.667
Total Nacional	16 País Vasco	01 Araba/Álava	Hombres	2023	165.600
Total Nacional	16 País Vasco	01 Araba/Álava	Hombres	2022	164.410
Total Nacional	16 País Vasco	01 Araba/Álava	Hombres	2021	164.299
Total Nacional	16 País Vasco	01 Araba/Álava	Mujeres	2024	171.927
Total Nacional	16 País Vasco	01 Araba/Álava	Mujeres	2023	170.708
Total Nacional	16 País Vasco	01 Araba/Álava	Mujeres	2022	169.498
Total Nacional	16 País Vasco	01 Araba/Álava	Mujeres	2021	169.186
Total Nacional	16 País Vasco	20 Gipuzkoa	Total	2024	729.722
Total Nacional	16 País Vasco	20 Gipuzkoa	Total	2023	726.712
Total Nacional	16 País Vasco	20 Gipuzkoa	Total	2022	723.241
Total Nacional	16 País Vasco	20 Gipuzkoa	Total	2021	725.508
Total Nacional	16 País Vasco	20 Gipuzkoa	Hombres	2024	356.298
Total Nacional	16 País Vasco	20 Gipuzkoa	Hombres	2023	354.758
Total Nacional	16 País Vasco	20 Gipuzkoa	Hombres	2022	353.333
Total Nacional	16 País Vasco	20 Gipuzkoa	Hombres	2021	354.493
Total Nacional	16 País Vasco	20 Gipuzkoa	Mujeres	2024	373.424
Total Nacional	16 País Vasco	20 Gipuzkoa	Mujeres	2023	371.954
Total Nacional	16 País Vasco	20 Gipuzkoa	Mujeres	2022	369.908
Total Nacional	16 País Vasco	20 Gipuzkoa	Mujeres	2021	371.015
Total Nacional	16 País Vasco	48 Bizkaia	Total	2024	1.159.368
Total Nacional	16 País Vasco	48 Bizkaia	Total	2023	1.153.282
Total Nacional	16 País Vasco	48 Bizkaia	Total	2022	1.148.677
Total Nacional	16 País Vasco	48 Bizkaia	Total	2021	1.153.635
Total Nacional	16 País Vasco	48 Bizkaia	Hombres	2024	560.523
Total Nacional	16 País Vasco	48 Bizkaia	Hombres	2023	557.146
Total Nacional	16 País Vasco	48 Bizkaia	Hombres	2022	554.748
Total Nacional	16 País Vasco	48 Bizkaia	Hombres	2021	557.190
Total Nacional	16 País Vasco	48 Bizkaia	Mujeres	2024	598.845
Total Nacional	16 País Vasco	48 Bizkaia	Mujeres	2023	596.136
Total Nacional	16 País Vasco	48 Bizkaia	Mujeres	2022	593.929
Total Nacional	16 País Vasco	48 Bizkaia	Mujeres	2021	596.445
Total Nacional	17 Rioja, La		Total	2024	324.184
Total Nacional	17 Rioja, La		Total	2023	322.282
Total Nacional	17 Rioja, La		Total	2022	319.617
Total Nacional	17 Rioja, La		Total	2021	319.444
Total Nacional	17 Rioja, La		Hombres	2024	159.979
Total Nacional	17 Rioja, La		Hombres	2023	159.151
Total Nacional	17 Rioja, La		Hombres	2022	157.875
Total Nacional	17 Rioja, La		Hombres	2021	157.763
Total Nacional	17 Rioja, La		Mujeres	2024	164.205
Total Nacional	17 Rioja, La		Mujeres	2023	163.131
Total Nacional	17 Rioja, La		Mujeres	2022	161.742
Total Nacional	17 Rioja, La		Mujeres	2021	161.681
Total Nacional	17 Rioja, La	26 Rioja, La	Total	2024	324.184
Total Nacional	17 Rioja, La	26 Rioja, La	Total	2023	322.282
Total Nacional	17 Rioja, La	26 Rioja, La	Total	2022	319.617
Total Nacional	17 Rioja, La	26 Rioja, La	Total	2021	319.444
Total Nacional	17 Rioja, La	26 Rioja, La	Hombres	2024	159.979
Total Nacional	17 Rioja, La	26 Rioja, La	Hombres	2023	159.151
Total Nacional	17 Rioja, La	26 Rioja, La	Hombres	2022	157.875
Total Nacional	17 Rioja, La	26 Rioja, La	Hombres	2021	157.763
Total Nacional	17 Rioja, La	26 Rioja, La	Mujeres	2024	164.205
Total Nacional	17 Rioja, La	26 Rioja, La	Mujeres	2023	163.131
Total Nacional	17 Rioja, La	26 Rioja, La	Mujeres	2022	161.742
Total Nacional	17 Rioja, La	26 Rioja, La	Mujeres	2021	161.681
Total Nacional	18 Ceuta		Total	2024	83.179
Total Nacional	18 Ceuta		Total	2023	83.052
Total Nacional	18 Ceuta		Total	2022	83.051
Total Nacional	18 Ceuta		Total	2021	84.071
Total Nacional	18 Ceuta		Hombres	2024	41.957
Total Nacional	18 Ceuta		Hombres	2023	41.897
Total Nacional	18 Ceuta		Hombres	2022	41.908
Total Nacional	18 Ceuta		Hombres	2021	42.536
Total Nacional	18 Ceuta		Mujeres	2024	41.222
Total Nacional	18 Ceuta		Mujeres	2023	41.155
Total Nacional	18 Ceuta		Mujeres	2022	41.143
Total Nacional	18 Ceuta		Mujeres	2021	41.535
Total Nacional	18 Ceuta	51 Ceuta	Total	2024	83.179
Total Nacional	18 Ceuta	51 Ceuta	Total	2023	83.052
Total Nacional	18 Ceuta	51 Ceuta	Total	2022	83.051
Total Nacional	18 Ceuta	51 Ceuta	Total	2021	84.071
Total Nacional	18 Ceuta	51 Ceuta	Hombres	2024	41.957
Total Nacional	18 Ceuta	51 Ceuta	Hombres	2023	41.897
Total Nacional	18 Ceuta	51 Ceuta	Hombres	2022	41.908
Total Nacional	18 Ceuta	51 Ceuta	Hombres	2021	42.536
Total Nacional	18 Ceuta	51 Ceuta	Mujeres	2024	41.222
Total Nacional	18 Ceuta	51 Ceuta	Mujeres	2023	41.155
Total Nacional	18 Ceuta	51 Ceuta	Mujeres	2022	41.143
Total Nacional	18 Ceuta	51 Ceuta	Mujeres	2021	41.535
Total Nacional	19 Melilla		Total	2024	85.985
Total Nacional	19 Melilla		Total	2023	85.493
Total Nacional	19 Melilla		Total	2022	84.932
Total Nacional	19 Melilla		Total	2021	86.450
Total Nacional	19 Melilla		Hombres	2024	43.252
Total Nacional	19 Melilla		Hombres	2023	43.162
Total Nacional	19 Melilla		Hombres	2022	42.978
Total Nacional	19 Melilla		Hombres	2021	43.823
Total Nacional	19 Melilla		Mujeres	2024	42.733
Total Nacional	19 Melilla		Mujeres	2023	42.331
Total Nacional	19 Melilla		Mujeres	2022	41.954
Total Nacional	19 Melilla		Mujeres	2021	42.627
Total Nacional	19 Melilla	52 Melilla	Total	2024	85.985
Total Nacional	19 Melilla	52 Melilla	Total	2023	85.493
Total Nacional	19 Melilla	52 Melilla	Total	2022	84.932
Total Nacional	19 Melilla	52 Melilla	Total	2021	86.450
Total Nacional	19 Melilla	52 Melilla	Hombres	2024	43.252
Total Nacional	19 Melilla	52 Melilla	Hombres	2023	43.162
Total Nacional	19 Melilla	52 Melilla	Hombres	2022	42.978
Total Nacional	19 Melilla	52 Melilla	Hombres	2021	43.823
Total Nacional	19 Melilla	52 Melilla	Mujeres	2024	42.733
Total Nacional	19 Melilla	52 Melilla	Mujeres	2023	42.331
Total Nacional	19 Melilla	52 Melilla	Mujeres	2022	41.954
Total Nacional	19 Melilla	52 Melilla	Mujeres	2021	42.627
